id	name	confirmed	recovered	deaths	active	
CHN	China	84018	79222	4637	159	
IND	India	74292	24420	2415	47457	
USA	US	1369376	230287	82356	1056733	
IDN	Indonesia	14749	3063	1007	10679	
BRA	Brazil	178214	72597	12461	93156	
PAK	Pakistan	34336	8812	737	24787	
BGD	Bangladesh	16660	3147	250	13263	
NGA	Nigeria	4787	959	158	3670	
RUS	Russia	232243	43512	2116	186615	
JPN	Japan	15968	8531	657	6780	
MEX	Mexico	38324	25935	3926	8463	
PHL	Philippines	11350	2106	751	8493	
VNM	Vietnam	288	252	0	36	
ETH	Ethiopia	261	106	5	150	
DEU	Germany	173171	147200	7738	18233	
EGY	Egypt	10093	2326	544	7223	
TUR	Turkey	141475	98889	3894	38692	
COD	Congo (Kinshasa)	1102	146	44	912	
IRN	Iran	110767	88357	6733	15677	
THA	Thailand	3017	2798	56	163	
FRA	France	178349	57898	26994	93457	
GBR	United Kingdom	227741	1023	32769	193949	
ITA	Italy	221216	109039	30911	81266	
MMR	Burma	180	76	6	98	
ZAF	South Africa	11350	4357	206	6787	
KOR	Korea South	10962	9695	259	1008	
UKR	Ukraine	16023	3373	425	12225	
COL	Colombia	12272	2971	493	8808	
SDN	Sudan	1661	173	80	1408	
TZA	Tanzania	509	183	21	305	
ARG	Argentina	6563	1862	319	4382	
ESP	Spain	228030	138980	26920	62130	
KEN	Kenya	715	259	36	420	
POL	Poland	16921	6131	839	9951	
DZA	Algeria	6067	2998	515	2554	
CAN	Canada	72419	34055	5300	33064	
UGA	Uganda	129	55	0	74	
MAR	Morocco	6418	2991	188	3239	
PER	Peru	72059	23324	2057	46678	
IRQ	Iraq	2913	1903	112	898	
SAU	Saudi Arabia	42925	15257	264	27404	
AFG	Afghanistan	4963	610	127	4226	
NPL	Nepal	217	33	0	184	
UZB	Uzbekistan	2519	2010	10	499	
VEN	Venezuela	423	220	10	193	
MYS	Malaysia	6742	5223	109	1410	
GHA	Ghana	5127	494	22	4611	
TWN	Taiwan*	440	372	7	61	
SYR	Syria	47	29	3	15	
ROU	Romania	15778	7685	1002	7091	
MOZ	Mozambique	104	34	0	70	
AUS	Australia	6980	6270	98	612	
LKA	Sri Lanka	889	366	9	514	
MDG	Madagascar	186	101	0	85	
CIV	Cote d'Ivoire	1857	820	21	1016	
CMR	Cameroon	2689	1524	125	1040	
NLD	Netherlands	43183	149	5529	37505	
CHL	Chile	31721	14125	335	17261	
BFA	Burkina Faso	766	588	51	127	
NER	Niger	854	648	47	159	
KAZ	Kazakhstan	5279	2223	32	3024	
MWI	Malawi	57	24	3	30	
ECU	Ecuador	30419	3433	2327	24659	
KHM	Cambodia	122	121	0	1	
SEN	Senegal	1995	742	19	1234	
MLI	Mali	730	398	40	292	
GTM	Guatemala	1199	120	27	1052	
AGO	Angola	45	13	2	30	
ZMB	Zambia	441	117	7	317	
ZWE	Zimbabwe	36	9	4	23	
CUB	Cuba	1804	1277	78	449	
RWA	Rwanda	286	153	0	133	
GRC	Greece	2744	1374	152	1218	
PRT	Portugal	27913	3013	1163	23737	
TUN	Tunisia	1032	740	45	247	
